"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|ES","Generation - Solar [MW] Intraday / BZN|ES","Generation - Solar [MW] Current / BZN|ES","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"02.01.2025 09:15 - 02.01.2025 09:30","2927","2796","2802","n/e","n/e","n/e","5692","5553","6226"
"02.01.2025 09:30 - 02.01.2025 09:45","4085","3943","4016","n/e","n/e","n/e","5662","5509","6127"
"02.01.2025 09:45 - 02.01.2025 10:00","5325","5188","5264","n/e","n/e","n/e","5617","5459","6023"
"02.01.2025 10:00 - 02.01.2025 10:15","7661","7610","7569","n/e","n/e","n/e","5576","5404","5492"
"02.01.2025 10:15 - 02.01.2025 10:30","8913","8869","8627","n/e","n/e","n/e","5505","5344","5411"
"02.01.2025 10:30 - 02.01.2025 10:45","9899","9830","9500","n/e","n/e","n/e","5426","5283","5333"
"02.01.2025 10:45 - 02.01.2025 11:00","10644","10529","10209","n/e","n/e","n/e","5350","5224","5266"
"02.01.2025 11:00 - 02.01.2025 11:15","11559","11372","11620","n/e","n/e","n/e","5222","5141","5538"
"02.01.2025 11:15 - 02.01.2025 11:30","12013","11783","12082","n/e","n/e","n/e","5202","5105","5473"
"02.01.2025 11:30 - 02.01.2025 11:45","12385","12128","12430","n/e","n/e","n/e","5227","5088","5430"
"02.01.2025 11:45 - 02.01.2025 12:00","12686","12421","12686","n/e","n/e","n/e","5284","5091","5412"
"02.01.2025 12:00 - 02.01.2025 12:15","13066","12783","13524","n/e","n/e","n/e","5356","5072","5614"
"02.01.2025 12:15 - 02.01.2025 12:30","13234","12971","13662","n/e","n/e","n/e","5425","5111","5647"
"02.01.2025 12:30 - 02.01.2025 12:45","13335","13104","13765","n/e","n/e","n/e","5478","5166","5696"
"02.01.2025 12:45 - 02.01.2025 13:00","13388","13193","13831","n/e","n/e","n/e","5521","5231","5754"
"02.01.2025 13:00 - 02.01.2025 13:15","13423","13285","13942","n/e","n/e","n/e","5535","5309","6158"
"02.01.2025 13:15 - 02.01.2025 13:30","13436","13320","13943","n/e","n/e","n/e","5591","5375","6190"
"02.01.2025 13:30 - 02.01.2025 13:45","13453","13343","13923","n/e","n/e","n/e","5666","5432","6215"
"02.01.2025 13:45 - 02.01.2025 14:00","13472","13358","13886","n/e","n/e","n/e","5749","5478","6230"
"02.01.2025 14:00 - 02.01.2025 14:15","13536","13402","13374","n/e","n/e","n/e","5891","5533","6691"
"02.01.2025 14:15 - 02.01.2025 14:30","13539","13395","13410","n/e","n/e","n/e","5942","5554","6675"
"02.01.2025 14:30 - 02.01.2025 14:45","13515","13367","13407","n/e","n/e","n/e","5958","5562","6649"
"02.01.2025 14:45 - 02.01.2025 15:00","13418","13279","13315","n/e","n/e","n/e","5952","5563","6617"
"02.01.2025 15:00 - 02.01.2025 15:15","13625","13469","14016","n/e","n/e","n/e","5914","5541","6886"
"02.01.2025 15:15 - 02.01.2025 15:30","13203","13092","13479","n/e","n/e","n/e","5911","5544","6846"
"02.01.2025 15:30 - 02.01.2025 15:45","12548","12501","12731","n/e","n/e","n/e","5930","5557","6817"
"02.01.2025 15:45 - 02.01.2025 16:00","11653","11677","11773","n/e","n/e","n/e","5971","5587","6803"
"02.01.2025 16:00 - 02.01.2025 16:15","11237","11377","11654","n/e","n/e","n/e","6006","5604","7068"
"02.01.2025 16:15 - 02.01.2025 16:30","9784","9946","10088","n/e","n/e","n/e","6077","5686","7073"
"02.01.2025 16:30 - 02.01.2025 16:45","8114","8252","8393","n/e","n/e","n/e","6157","5802","7098"
"02.01.2025 16:45 - 02.01.2025 17:00","6355","6436","6691","n/e","n/e","n/e","6244","5940","7140"
"02.01.2025 17:00 - 02.01.2025 17:15","4899","4917","5705","n/e","n/e","n/e","6325","6106","6835"
"02.01.2025 17:15 - 02.01.2025 17:30","3342","3299","4271","n/e","n/e","n/e","6423","6252","6922"
"02.01.2025 17:30 - 02.01.2025 17:45","2134","2051","3208","n/e","n/e","n/e","6525","6385","7017"
"02.01.2025 17:45 - 02.01.2025 18:00","1259","1160","1408","n/e","n/e","n/e","6630","6506","7116"
"02.01.2025 18:00 - 02.01.2025 18:15","452","365","727","n/e","n/e","n/e","6741","6630","7215"
"02.01.2025 18:15 - 02.01.2025 18:30","281","184","436","n/e","n/e","n/e","6848","6738","7305"
"02.01.2025 18:30 - 02.01.2025 18:45","211","117","358","n/e","n/e","n/e","6956","6843","7395"
"02.01.2025 18:45 - 02.01.2025 19:00","175","92","313","n/e","n/e","n/e","7060","6947","7483"
"02.01.2025 19:00 - 02.01.2025 19:15","152","83","71","n/e","n/e","n/e","7171","7048","7871"
"02.01.2025 19:15 - 02.01.2025 19:30","139","85","61","n/e","n/e","n/e","7260","7149","7929"
"02.01.2025 19:30 - 02.01.2025 19:45","126","84","56","n/e","n/e","n/e","7339","7248","7975"
"02.01.2025 19:45 - 02.01.2025 20:00","115","80","54","n/e","n/e","n/e","7409","7344","8015"
"02.01.2025 20:00 - 02.01.2025 20:15","97","75","65","n/e","n/e","n/e","7470","7445","8548"
"02.01.2025 20:15 - 02.01.2025 20:30","95","69","62","n/e","n/e","n/e","7538","7528","8577"
"02.01.2025 20:30 - 02.01.2025 20:45","98","64","59","n/e","n/e","n/e","7610","7603","8614"
"02.01.2025 20:45 - 02.01.2025 21:00","105","59","56","n/e","n/e","n/e","7686","7671","8657"
"02.01.2025 21:00 - 02.01.2025 21:15","122","56","54","n/e","n/e","n/e","7769","7732","8723"
"02.01.2025 21:15 - 02.01.2025 21:30","125","51","48","n/e","n/e","n/e","7845","7797","8740"
"02.01.2025 21:30 - 02.01.2025 21:45","121","46","41","n/e","n/e","n/e","7920","7865","8771"
"02.01.2025 21:45 - 02.01.2025 22:00","111","40","34","n/e","n/e","n/e","7993","7937","8814"
"02.01.2025 22:00 - 02.01.2025 22:15","94","35","39","n/e","n/e","n/e","8070","8007","9062"
"02.01.2025 22:15 - 02.01.2025 22:30","89","31","33","n/e","n/e","n/e","8147","8088","9092"
"02.01.2025 22:30 - 02.01.2025 22:45","91","26","28","n/e","n/e","n/e","8227","8175","9119"
"02.01.2025 22:45 - 02.01.2025 23:00","95","23","24","n/e","n/e","n/e","8309","8264","9145"
"02.01.2025 23:00 - 02.01.2025 23:15","112","20","37","n/e","n/e","n/e","8412","8361","9328"
"02.01.2025 23:15 - 02.01.2025 23:30","109","17","38","n/e","n/e","n/e","8488","8448","9358"
"02.01.2025 23:30 - 02.01.2025 23:45","97","16","41","n/e","n/e","n/e","8558","8531","9384"
"02.01.2025 23:45 - 03.01.2025 00:00","79","14","45","n/e","n/e","n/e","8624","8613","9410"
"03.01.2025 00:00 - 03.01.2025 00:15","41","70","70","n/e","n/e","n/e","8828","9419","9419"
"03.01.2025 00:15 - 03.01.2025 00:30","43","66","66","n/e","n/e","n/e","8905","9477","9477"
"03.01.2025 00:30 - 03.01.2025 00:45","41","59","59","n/e","n/e","n/e","8979","9530","9530"
"03.01.2025 00:45 - 03.01.2025 01:00","34","50","50","n/e","n/e","n/e","9050","9581","9581"
"03.01.2025 01:00 - 03.01.2025 01:15","24","7","7","n/e","n/e","n/e","9131","9689","9689"
"03.01.2025 01:15 - 03.01.2025 01:30","19","7","7","n/e","n/e","n/e","9190","9756","9756"
"03.01.2025 01:30 - 03.01.2025 01:45","17","7","7","n/e","n/e","n/e","9242","9817","9817"
"03.01.2025 01:45 - 03.01.2025 02:00","17","7","7","n/e","n/e","n/e","9288","9872","9872"
"03.01.2025 02:00 - 03.01.2025 02:15","20","26","26","n/e","n/e","n/e","9331","10112","10112"
"03.01.2025 02:15 - 03.01.2025 02:30","20","25","25","n/e","n/e","n/e","9370","10143","10143"
"03.01.2025 02:30 - 03.01.2025 02:45","18","23","23","n/e","n/e","n/e","9407","10174","10174"
"03.01.2025 02:45 - 03.01.2025 03:00","15","21","21","n/e","n/e","n/e","9445","10205","10205"
"03.01.2025 03:00 - 03.01.2025 03:15","9","5","5","n/e","n/e","n/e","9479","10945","10945"
"03.01.2025 03:15 - 03.01.2025 03:30","8","4","4","n/e","n/e","n/e","9521","10938","10938"
"03.01.2025 03:30 - 03.01.2025 03:45","9","4","4","n/e","n/e","n/e","9567","10939","10939"
"03.01.2025 03:45 - 03.01.2025 04:00","11","3","3","n/e","n/e","n/e","9616","10948","10948"
"03.01.2025 04:00 - 03.01.2025 04:15","19","3","3","n/e","n/e","n/e","9664","11158","11158"
"03.01.2025 04:15 - 03.01.2025 04:30","18","2","2","n/e","n/e","n/e","9717","11163","11163"
"03.01.2025 04:30 - 03.01.2025 04:45","14","0","0","n/e","n/e","n/e","9771","11167","11167"
"03.01.2025 04:45 - 03.01.2025 05:00","8","0","0","n/e","n/e","n/e","9825","11171","11171"
"03.01.2025 05:00 - 03.01.2025 05:15","1","0","0","n/e","n/e","n/e","9881","10988","10988"
"03.01.2025 05:15 - 03.01.2025 05:30","2","0","0","n/e","n/e","n/e","9933","11018","11018"
"03.01.2025 05:30 - 03.01.2025 05:45","4","0","0","n/e","n/e","n/e","9982","11076","11076"
"03.01.2025 05:45 - 03.01.2025 06:00","9","0","0","n/e","n/e","n/e","10027","11152","11152"
"03.01.2025 06:00 - 03.01.2025 06:15","35","0","0","n/e","n/e","n/e","10085","11930","11930"
"03.01.2025 06:15 - 03.01.2025 06:30","41","0","0","n/e","n/e","n/e","10123","11905","11905"
"03.01.2025 06:30 - 03.01.2025 06:45","38","1","1","n/e","n/e","n/e","10156","11880","11880"
"03.01.2025 06:45 - 03.01.2025 07:00","30","1","1","n/e","n/e","n/e","10185","11853","11853"
"03.01.2025 07:00 - 03.01.2025 07:15","17","0","0","n/e","n/e","n/e","10207","12042","12042"
"03.01.2025 07:15 - 03.01.2025 07:30","10","1","1","n/e","n/e","n/e","10236","11989","11989"
"03.01.2025 07:30 - 03.01.2025 07:45","7","1","1","n/e","n/e","n/e","10266","11940","11940"
